session_date_utc,pair,session_utc,expected_bars,compared_bars,open_close_failure_rows,high_low_only_failure_rows,raw_signal_disagreements,delayed_signal_disagreements,volatility_eligibility_disagreements,median_close_bps_diff,p95_close_bps_diff,max_close_bps_diff,max_any_ohlc_bps_diff,pair_pass
2026-08-11,GBPUSD,11:00-13:00,24,24,0,0,0,0,0,0.8520538262453714,2.0749648371106955,2.6678721496373616,2.7423658464273752,True
2026-08-11,USDJPY,11:00-13:00,24,24,0,0,0,0,0,0.5365442736752396,1.7491803245255242,1.8520030908603908,2.880244452966621,True
2026-08-12,AUDUSD,11:00-14:00,36,36,2,6,6,6,6,1.0613728453946765,2.753665300321047,6.215567170504251,8.215879311566328,False
2026-08-12,EURUSD,11:00-13:00,24,24,0,1,0,0,0,0.4760635448049644,1.6330873180218124,1.730208576643724,9.600830342083158,True
2026-08-12,GBPUSD,11:00-13:00,24,24,0,1,0,0,0,0.5918670093054683,1.6338586944301434,2.7351690999813822,9.302531617533344,True
2026-08-12,USDJPY,11:00-13:00,24,24,5,0,0,0,0,0.6724522495229543,5.330711394855366,5.522595582175776,13.346737849268214,True
2026-08-13,AUDUSD,11:00-14:00,36,36,0,7,0,0,0,0.9217163499635852,3.6512185912696062,3.972758229285726,6.2331775038956785,True
2026-08-13,EURUSD,11:00-13:00,24,24,0,0,0,0,0,0.34677671892098805,0.7674597978971867,0.8670470112888565,2.2553782095760493,True
2026-08-13,GBPUSD,11:00-13:00,24,24,0,0,0,0,0,0.48179474984210213,1.4158498683931575,1.6304025612150133,3.5559770046823025,True
2026-08-13,USDJPY,11:00-13:00,24,24,0,0,0,0,0,0.7761638189855397,2.0069506907446395,2.909013295834631,4.843308421780309,True
2026-08-14,AUDUSD,11:00-14:00,36,36,1,5,0,0,0,0.7061947437833678,4.272768465334483,5.645730416371996,6.0751624752760875,True
2026-08-14,EURUSD,11:00-13:00,24,24,0,0,0,0,0,0.7348102767831379,2.0228825569315463,3.6309878880606634,4.236152536071093,True
2026-08-14,GBPUSD,11:00-13:00,24,24,0,0,0,0,0,0.7386315409875639,2.3081459292516273,2.4376011050454016,3.987181948402801,True
2026-08-14,USDJPY,11:00-13:00,24,24,0,2,5,4,5,0.8686637787418344,3.4854714349240727,4.366166147258841,6.2743123308369375,False
2026-08-17,AUDUSD,11:00-14:00,36,36,0,8,0,0,0,0.8420816284328612,3.1616234008319624,4.4924891197527295,5.768148564997489,True
2026-08-17,EURUSD,11:00-13:00,24,24,0,0,0,0,0,0.6900827706259796,1.9935565300237308,2.7603340004129797,2.7603340004129797,True
2026-08-17,GBPUSD,11:00-13:00,24,24,0,0,0,0,0,0.5901750618342492,1.505054664011165,2.1388007965181903,2.508373541084096,True
2026-08-17,USDJPY,11:00-13:00,24,24,0,0,0,0,0,0.449904592270145,1.1335531164311083,1.3756773217296248,1.9166520133653249,True
2026-08-18,AUDUSD,11:00-14:00,36,36,1,9,0,0,0,0.7735417853550366,3.585290646560222,5.344585091421195,5.483689538806108,True
2026-08-18,EURUSD,11:00-13:00,24,24,0,0,0,0,0,0.6046549804634211,1.7022879244280251,3.281973329648716,3.281973329648716,True
2026-08-18,GBPUSD,11:00-13:00,24,24,0,0,0,0,0,0.8503535502296533,2.258353471322423,2.810110481712444,3.1062791213657635,True
2026-08-18,USDJPY,11:00-13:00,24,24,0,0,0,0,0,0.7579588778902594,1.5962051973967841,2.12574062707477,2.577303445381058,True
2026-08-19,AUDUSD,11:00-14:00,36,36,4,4,2,2,2,1.1309338695464257,4.781672228419235,5.218544167218818,8.745574316222392,False
2026-08-19,EURUSD,11:00-13:00,24,24,3,0,3,2,3,0.3878678819047152,4.474852282039152,6.879589976436646,8.607037113543086,False
